claim_id,surface,claim_text,frozen_source,evidence_status,allowed_wording_now,consequence_if_missing_or_invalid
C-000,"README, repository explanation","No Human Data Budget experiment has been run or verified in this repository.",CLAIMS.md C-000; scripts/audit_repository.py,Verified,"State plainly as a fact about the repository.","None. This claim is the honest default and must remain true until run artifacts exist."
C-001,"Abstract, introduction, related work","Recursive training on generated data can degrade model fit, diversity, or tail coverage in studied settings, while the outcome depends strongly on the data workflow and source distribution.",CLAIMS.md C-001; docs/evidence/sources.yaml,Supported with scope qualifiers,"""Prior work shows collapse in some recursive workflows and stability in others.""","Drop the sentence. Never generalise to ""recursive training causes collapse"" without the workflow qualifier."
C-002,"Abstract, results, conclusion","At equal lifetime human-token and total optimizer-token budgets, joint allocation reduces chain-level regret relative to the strongest schedule-only and selection-only baselines.",CLAIMS.md C-002 contract; PREREGISTRATION.md,Untested,"""The project will test whether joint allocation improves human-rescue efficiency under a fixed lifetime budget.""","Result-bearing sentences stay RESULT_PENDING. If the powered interval includes the practically equivalent or harmful region, use the null template in paper/outcome_contingent_language.md."
C-003,"Results, discussion, limitations","The advantage of targeted allocation decreases or reverses when the monitoring reference omits globally important modes.",CLAIMS.md C-003; PREREGISTRATION.md monitoring-bias intervention,Untested,"""The monitoring-omission experiment is designed to test a failure boundary.""","Report as designed-but-not-run. Do not describe the boundary as observed."
C-004,"Abstract, introduction, contribution slide","The joint problem of allocating one fixed lifetime stock of human-origin optimizer tokens across recursive generations and monitored human-distribution modes is distinguishable from the closest audited work.",CLAIMS.md C-004 contract; docs/evidence/closest_work.csv,Unverified and deliberately narrow,"""The audited literature leaves a narrower, provisional distinction"" followed by the modifiers recursive, fixed lifetime human-token budget, and matched non-joint baselines.","Withdraw or rewrite under the C-004 novelty stop rule. Threats 3 and 4 are the strongest; if either defeats the claim, narrow it before implementation."
C-005,"Method, discussion","Under-covered modes with high projected future regret may have greater marginal value for human anchors.",CLAIMS.md C-005,Untested,"Present strictly as a proposed mechanism, never as an explanation of an observed effect.","Delete any sentence that uses the mechanism to explain a result."
B-001,"Method, experiments","Compared policies consume identical lifetime human-origin and total optimizer tokens.",PROTOCOL.md budget matching; tests/policies/test_budget_matching.py,Enforced in code; not yet demonstrated on a real run,"""Budget-matched schedule-only, selection-only, and joint policies are planned.""","If a real run fails the equality preflight the comparison is not budget-matched and every derived contrast is invalid."
B-002,"Method, appendix","Held-out human NLL and tail retention are computed on a partition never used for selection.",PROTOCOL.md test-partition rule; tests/evaluation/test_tail_metric.py,Enforced in code; not yet demonstrated on a real run,"Describe the partition rule as designed and unit-tested.","Any leakage invalidates every downstream result; the validator returns invalid with SEPARATION_OVERLAP."
B-003,"Method, statistics appendix","The experimental unit is one independently seeded recursive chain.",PROTOCOL.md; scripts/aggregate_chain_results.py,Enforced in code,"State the unit explicitly wherever an interval is reported.","Any interval whose width implies generation-level n is wrong and must be recomputed across chains."
B-004,Reproduction appendix,"Every paper-facing number is generated from an immutable aggregate, never typed.",PROTOCOL.md no-manual-numbers rule; tests/analysis/test_generated_outputs.py,Enforced in code,"Describe the generation path from chain results to table.","A hand-entered value is a protocol violation. Remove it and regenerate from the aggregate."
